"Job.Title","Job.Description","Size","Sector","Skills"
"Big Data & Analytics Consultant"," passionate analytics like help customers become data driven achieve business goals want learn latest cloud web services technologies apply interesting analytics workloads world skilled helping customers partners address big data analytics projects using cloud computing architectures amazon web services aws hiring technical big data analytics consultants help customers partners develop technical expertise capacity work partners key customer engagements within diverse professional services team role specializes variety big data analytics aspects using cloud web services large scale computing environments big data analytics consultants deliver architecture guidance lead projects conduct customer workshops implement complex data analytics workloads customers partners responsibilities include â expertise collaborate aws field sales pre sales training support teams help customers partners learn use aws services amazon elastic compute cloud ec2 amazon simple storage service s3 amazon elastic map reduce emr amazon sagemaker development advanced analytics machine learning pipelines aws glue serverless apache spark workloads aws lambda serverless computing etc â solutions define deliver site technical engagements partners customers includes participating pre sales meetings visits understanding customer big data analytics requirements proposing delivering packaged offerings well delivering custom solution engagements â delivery engagements include short site projects proving use aws services support new distributed computing solutions often span private cloud public cloud services engagements will include migration existing applications development new applications using aws cloud services â insights work aws engineering support business teams convey partner customer feedback input aws technology roadmaps basic qualifications â 1+ years experience cloud â 10+ years experience direct customer interaction â 5+ years experience following technologies databases sql nosql mongodb cassandra mariadb postgresql big data open source tools hadoop spark big data proprietary tools hortonworks cloudera programing experience java python r julia sql bi tools tableau power bi spotfire microstrategy cognos etc â business level command english language reading writing speaking â bs level degree required equivalent â travel customer locations may required support pre sales delivery professional services needed preferred qualifications â current large scale project implementation experience required â strong verbal written communications skills ability lead effectively across organizations â project experience key vertical markets financial sector telecom utilities â ability think strategically business product technical challenges â technical analytical skills possessing 7+ years implementation consulting experience â implementation aws services distributed environments large data pipelines using technologies microsoft ibm oracle hp sap etc â bs level degree computer science business math background preferred â ability understand educate customers cloud computing technologies workload transition challenges amazon committed diverse inclusive workplace amazon equal opportunity employer discriminate basis race national origin gender gender identity sexual orientation disability age legally protected status ","Large","Information Technology","amazon web services, analytics, apache, apache spark, architecture, aws, bi, big data, cassandra, computer science, consulting, databases, delivery, ec2, engineering, hadoop, ibm, java, machine learning, mariadb, migration, mongodb, nosql, open source, oracle, postgresql, power bi, project, python, r, requirements, roadmaps, s3, sales, sap, solutions, spark, sql , storage, support,  architecture, tableau, technical, technology, training, web "
"Data Scientist - QuantumBlack","qualifications bachelor masters phd level field computer science machine learning applied statistics mathematics experience predictive analytics ai machine learning visual analytics neural networks deep learning programming experience python sql preferred experience applying data science methods business problems good presentation communication skills ability explain complex analytical concepts people fields ll work will work data scientists data engineers machine learning engineers designers project managers interdisciplinary projects using maths stats machine learning derive structure knowledge raw data across various industry sectors highly collaborative individual capable laying aside agenda listening learning colleagues challenging thoughtfully prioritising impact search ways improve things work collaboratively colleagues believe iterative change experimenting new approaches learning improving move forward quickly ll data scientist quantumblack jakarta will work multi disciplinary environments harnessing data provide real world impact organisations globally will influence many recommendations clients need positively change businesses enhance performance role responsibilities work complex extremely varied data sets worldâ s largest organisations solve real world problems develop data science products solutions clients well data science team write highly optimized code advance internal data science toolbox work multi disciplinary environment specialists machine learning engineering design add real world impact academic expertise encouraged write â blackâ papers present meetings conferences wish attend conferences nips icml one global team well data science retrospectives will opportunity share learn co workers work within one largest advanced data science teams london support lead data scientists develop data science products youâ ll learn successful projections real world problems across variety industries completed referencing past deliveries end end machine learning pipelines build products alongside core engineering team evolve engineering process scale data handling complex problems advanced client situations able focus modelling working alongside data engineering team focuses wrangling clean transformation data best practices software development productionise machine learning working machine learning engineering teams optimise code model development scale work ux visual design teams interpret complex models stunning user focused visualisations using new technologies problem solving skills multicultural creative environment will work frameworks libraries teams data scientists data engineers use progress data impact will guide global companies data science solutions transform businesses enhance performance across industries including healthcare automotive energy elite sport real world impact â project ever work across multiple sectors providing unique learning development opportunities internationally fusing tech leadership â work latest technologies methodologies offer first class learning programmes levels multidisciplinary teamwork teams include data scientists engineers project managers ux visual designers work collaboratively enhance performance innovative work culture â creativity insight passion come balanced cultivate modern work environment emphasis wellness insightful talks training sessions striving diversity â colleagues 40 nationalities recognise benefits working people walks life projects range helping pharmaceutical companies bring lifesaving drugs market quicker optimising formula1 carâ s performance quantumblack best worlds benefits part one leading management consultancies globally autonomy thrive fast growth tech culture healthcare efficiency â helped healthcare provider improve clinical trial practices identifying congestion diagnostic testing key indicator admissions breaches environmental impact â designed built first data driven application state art centre excellence urban innovation collecting real time data environmental sensors across london deploying proprietary analytics find unexpected patterns air pollution product development â worked ceo elite automotive organisation reduce 18 month car development timeframe improving processes designs team structures please submit cv english visit careers site watch video read interview processes benefits equal opportunity employer quantumblack encourages applications backgrounds regardless gender race disability pregnancy marital status age sexual orientation gender reassignment religion belief maintain sense community rooted respect consideration employees evaluation based simply upon individual work team performance ","Large","Business Services","ai, analytics, automotive, best practices, computer science, creativity, data science, design, end, engineering, evaluation, focus, healthcare, iterative, leadership, libraries, machine learning, management, mathematics, networks, performance, presentation, product development, programming, project, python, software development, solutions, sql , statistics, support, training, transformation, ux, video"
"IT Security Data Scientist","job title security data scientist job code 1181638 skill category \technology location emea client job ref sec job type permanent post start date 5 oct 2020 post end date job summary data scientist security nomura searching experienced security focused data scientist enhance output global security team assisting growing data needs across team candidate will located emea region lead data mining analytics interpreting data visualization facilitating reporting large integrated data sets built structured unstructured data development automation tools leverage proprietary data sources looking someone keen make impact using data make intelligent data driven decisions candidate will enhance status global security team using innovative analytical methods focus learning business needs delivering business value must keen interest machine learning automation ready expand skills field progresses position reports head emea security team based london additional responsibilities global head security support strategic vision responsibilities role will cover diverse range areas team including ï supporting global head security leverage proprietary data senior executive management ï develop automation capabilities tools support threat intelligence ï develop automation capabilities tools support digital risk initiatives ï enhance reporting risk governance output ï support creation nomuraï s data lake ï support global security team ad hoc technical support ï continuously seeks industry best practice skills development create new capabilities data analytics ï implement metrics scorecards dashboards track effectiveness engagement business impact global security team required experience position data scientist must following skills experience ï proven background delivering data science based projects security environment ï synthetic thinking skills ability connect dots data sets business relevant insights can delivered range stakeholders ï background data science statistical analysis r python ï strong data management skills including sql ï ability merge large data sets generate insight data sets able visualize insights technical non technical audience ï hands experience working 3rd party security vendors ï demonstrable inquisitive nature ability pursue lines inquiry independently ï excellent written verbal communication skills coordinating across teams ï prior working knowledge financial sector multinational company across various time zones ï awareness malware hacking tools advanced threat actor tactics tools techniques large advantage ï ï understanding experience modern technical security controls technologies tipï s soarï s firewalls siems ips hips web proxies etc ï knowledge cyber threat intelligence models e g mitre att ck kill chain diamond model qualifications ï degree statistics math data analytics physics computer science machine learning related fields ï background working professional data science position preferably security ï ï proven track record wide variety major data science statistical analytics tools programming languages example experience one following python spss modeler sas r scala spark ï knowledge visual analytical tools tableau ","Large","Finance","analytics, automation, computer science, data management, data mining, data science, data visualization, end, firewalls, focus, governance, machine learning, malware, management, metrics, physics, programming, python, r, reporting, sas, scala, security, spark, sql , statistics, support, tableau, technical, technical support, technology, visualization, web "
"Data Scientist - Risk Modelling Specialist","company description cermati financial technology fintech startup based indonesia cermati simplifies process finding applying financial product bringing everything online people can shop around financial products online can apply online without physically visit bank team hailed silicon valley tech companies google microsoft linkedin sofi well indonesian startups doku touchten graduates well known universities universitas indonesia itb stanford university washington cornell many others building company culture openness transparency drive meritocracy silicon valley companies join us cause build world class fintech company indonesia job description working team build credit risk modelling analytics reporting retail customer partner product team determine technology help detect reduce risk analyze key metrics determine risk help building variety data ingredients needed modelling effectively maintain credit model platform utilised team expected provide advice guidance ongoing efficiency gains new credit modelling methodology qualifications undergraduate degree analytical discipline e g math statistics however disciplines will considered experience using statistic tool r python sas sql analytical tools advanced ms excel skills willingness get hands dirty build data additional information null","Small","Information Technology","analytics, excel, metrics, python, r, reporting, retail, sas, sql , statistics, technology"
"Data Scientist","happyfresh southeast asia s 1 online grocery company asia s best company work 2019 headquarters jakarta expanded eight cities three countries now operate indonesia malaysia thailand every day team delivers freshest highest quality groceries thousands customers southeast asia s major cities mission provide easier way access healthy food enabling customers live life fullest healthy lifestyle loved ones know well create product everyone involve everyone happyfresh value inclusion elitism skills credentials happyfresh terms scale get build best class technology connects thousands families retail stores across southeast asia terms structure will working cross functional self organized team day one believe â silosâ achievable goal ll exploratory research model use solving problem team needs solve present research findings team business product teams monitor performance model production environment understand large amounts data team business metrics analyze evaluate potential problems hypotheses recommendations better business performance coach guide junior data scientists team continuously improve process model development validation analyses looking min 3 year experiences ai machine learning projects experience statistical analysis developing machine learning models production strong programming skills python fluency data manipulation sql spark pandas machine learning scikit learn xgboost keras tensorflow tools ability write complex efficient eloquent sql queries extract data possess great design problem solving skills passion quality engineering excellence scale ability work independently fast paced iterative development environment exemplary communication skills ability work large cross functional teams technical non technical members perks competitive salary package employee discounts affordable grocery special happyfreshers generous medical dental maternity insurance happyhealth allowance provided happyfreshers health activities health related items work home days 12 days paid leave per year annual 3 country conferences free zumba muaythai girls futsal boys lactation room working mothers cakes every birthday work anniversary pizza martabak everytime find something celebrate see s like work http happyfresh com careers","Medium Small","Information Technology","ai, cross, data manipulation, design, engineering, http, insurance, iterative, machine learning, medical, metrics, performance, production, programming, python, quality, retail, spark, sql , sql queries, technical, technology, validation"
"Senior Data Scientist","job description driving team create world class actionable insights continuously increasing quality dashboard reporting benchmark bi capability set standard company actively maintain large scale collaboration internal external parties will benefit whole company creating continuous improvement better management dependencies integration teams functions requirements ms technical field phd preferred formal advanced education machine learning ai computer science engineering preferred 6+ years experience data science business analytics business intelligence related technical field working data scientist business savviness generate present insights senior stakeholders innovate using bi produce industry leading insight generation processes expert various bi technology ability design implement bi platform process large datasets past experience e commerce platforms will highly valuable benefits competitive remuneration package attractive medical insurance supporting working device 16 days paid leave per year","Medium Small","Data Analysis","ai, analytics, bi, business intelligence, collaboration, computer science, continuous improvement, dashboard, data science, design, engineering, insurance, integration, machine learning, management, medical, quality, reporting, requirements, technical, technology"
"Senior Data Scientist / MLE","work one highest performing startup high variety use cases latest technology client client leading fintech startup high social vision help underserved made possible individuals accessibility financial products job description gather manage scrub data collected various analytic platforms sources write sql queries build quantitative analysis define problems hypotheses develop recommendations analyze large amounts data discover insights solving problems leading better business performance collaborate fellow data scientists data engineers business units design deploy data drive solutions high business value implement continuous improvement predictive accuracy models monitor performance production systems apply best practices data driven decision processes statistical theorems successful applicant minimum 3 years experience data science modelling statistics quantitative analysis excellent understanding machine learning algorithms python libraries limited scikitlearn pandas keras xgboost catboost tensorflow proficiency using sql query language independently able query databases perform search patterns great understanding linear algebra multivariate calculus applied statistics skills distributions statistical testing regression etc solid analytical problem solving skills curious fast learning exceptional can attitude excellent data visualization presentation skills preferably bachelor s degree mathematics computer science statistics engineering similar advanced degree s offer competitive benefits work one highest performing startup high variety use cases latest technology","Medium Small","Business Services","best practices, computer science, continuous improvement, data science, data visualization, databases, design, engineering, libraries, machine learning, mathematics, performance, presentation, production, python, regression, solid, solutions, sql , sql queries, statistics, systems, technology, visualization"
"Data Scientist","define problems hypotheses develop recommendations analyze large amounts data discover insights solving problems leading better business performance design plan develop deploy machine learning models advanced analytics solutions solve wide array business problems collaborate business intelligence data engineer teams find external internal sources new data improve existing data sources order continually improve data quality continuously improve performance models monitor model performance production systems closely establish scalable efficient automated processes large scale data analyses model development model validation model implementation coach help junior data scientists grow capabilities min 3 year experiences ai machine learning projects experience statistical analysis developing machine learning models production familiar python develop statistical data model familiar database query possess great design problem solving skills passion quality engineering excellence scale ability work independently fast paced iterative development environment exemplary communication skills ability work large cross functional teams technical non technical members deep knowledge statistic model good collaboration skill good communication skill strong critical thinking","Small","Travel & Tourism","ai, analytics, automated, business intelligence, collaboration, cross, data quality, database, design, engineering, iterative, machine learning, performance, production, python, quality, solutions, systems, technical, validation"
"Data Scientist (Jixie)","experienced using statistical computer languages python sql etc data streaming format recordio manipulate large volumes data internal external experienced creating data processing architectures knowledge variety machine learning techniques real world advantages drawbacks experience cloud solutions like aws sagemaker athena glue spark equivalent experience bi tools google data studio quicksight tableau etc hungry perform persistence deliver project management organizational multi tasking always solving problem strong aptitude find solutions forecast anticipate outcomes connect resolve excellent communication skills ability understand needs translate action recommended 4+ years experience previous media advertising performance advertising experience preferred ","Medium Large","Data Analysis","aws, bi, machine learning, management, organizational, performance, project, project management, python, solutions, spark, sql , tableau"
"Business Intelligence Analyst - GoPay"," role business intelligence analyst will working gopay business product team supporting analytics data products automated dashboards reports alerts simulation tools will create business impact scale helping goplay level detail enables stakeholders identify address critical issues aligning deliverables according teamâ s priorities requirements will general analysis new feature product released released provide customer merchant segmentations based personas deep analytics customer behavior give strategic insights businesses make decision event performance analysis cashback promos poi etc provide visualisations track go pay performance data etl extraction transform load will need least 2+ years experience analysist business intelligence data science field familiarity variants sqlproficient etl extract transform load plus familiarity metabase tableau bigquery python will major plus excellent analytical skills topped strong communication presentation capabilities order share recommendations ability work team members data science projects strong contribution database design data architecture data mining analytics data security privacy data visualization team gopay business intelligence team working indonesia s leading e money wallet offers best experience payment services customers service providers started e money wallet gojek indonesiaâ s first leading ride sharing application transport food delivery demand services ","Medium Large","Transportation & Logistics","analytics, architecture, automated, business intelligence, data architecture, data mining, data science, data security, data visualization, database, database design, delivery, design, detail, etl, performance, presentation, python, requirements, security, simulation,  architecture, tableau, visualization"
